Paket No,Uydu Statu,Hata Kodu, Tarih, Saat, Basinc1, Basinc2, Yukseklik1, Yukseklik2, Irtifa Farki, InisHizi, Sicaklik, PilGerilimi, GpsLatitude, GpsLongitude, GpsAltitude, Pitch, Roll, Yaw, Takim No, Tasiyici Inis Hizi
17 , 2 , 01010 , 19/08/2021,03/42/2 , 185 , 900 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 85 , 85 , 85 , 1412 , 3 , 1
18 , 2 , 01010 , 19/08/2021,03/42/2 , 190 , 950 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 90 , 90 , 90 , 1412 , 3 , 1
19 , 2 , 01010 , 19/08/2021,03/42/2 , 195 , 1000 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 95 , 95 , 95 , 1412 , 3 , 1
20 , 2 , 01010 , 19/08/2021,03/42/2 , 200 , 1050 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 100 , 100 , 100 , 1412 , 3 , 1
21 , 2 , 01010 , 19/08/2021,03/42/2 , 205 , 1100 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 105 , 105 , 105 , 1412 , 3 , 1
22 , 2 , 01010 , 19/08/2021,03/42/2 , 210 , 1150 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 110 , 110 , 110 , 1412 , 3 , 1
23 , 2 , 01010 , 19/08/2021,03/42/2 , 215 , 1200 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 115 , 115 , 115 , 1412 , 3 , 1
24 , 2 , 01010 , 19/08/2021,03/42/2 , 220 , 1250 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 120 , 120 , 120 , 1412 , 3 , 1
25 , 2 , 01010 , 19/08/2021,03/42/2 , 225 , 1300 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 125 , 125 , 125 , 1412 , 3 , 1
26 , 2 , 01010 , 19/08/2021,03/42/2 , 230 , 1350 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 130 , 130 , 130 , 1412 , 3 , 1
27 , 2 , 01010 , 19/08/2021,03/42/2 , 235 , 1400 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 135 , 135 , 135 , 1412 , 3 , 1
28 , 2 , 01010 , 19/08/2021,03/42/2 , 240 , 1450 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 140 , 140 , 140 , 1412 , 3 , 1
29 , 2 , 01010 , 19/08/2021,03/42/2 , 245 , 1500 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 145 , 145 , 145 , 1412 , 3 , 1
30 , 2 , 01010 , 19/08/2021,03/42/2 , 250 , 1550 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 150 , 150 , 150 , 1412 , 3 , 1
31 , 2 , 01010 , 19/08/2021,03/42/2 , 255 , 1600 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 155 , 155 , 155 , 1412 , 3 , 1
32 , 2 , 01010 , 19/08/2021,03/42/2 , 260 , 1650 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 160 , 160 , 160 , 1412 , 3 , 1
33 , 2 , 01010 , 19/08/2021,03/42/2 , 265 , 1700 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 165 , 165 , 165 , 1412 , 3 , 1
34 , 2 , 01010 , 19/08/2021,03/42/2 , 270 , 1750 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 170 , 170 , 170 , 1412 , 3 , 1
35 , 2 , 01010 , 19/08/2021,03/42/2 , 275 , 1800 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 175 , 175 , 175 , 1412 , 3 , 1
36 , 2 , 01010 , 19/08/2021,03/42/2 , 280 , 1850 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 180 , 180 , 180 , 1412 , 3 , 1
37 , 2 , 01010 , 19/08/2021,03/42/2 , 285 , 1900 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 185 , 185 , 185 , 1412 , 3 , 1
38 , 2 , 01010 , 19/08/2021,03/42/2 , 290 , 1950 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 190 , 190 , 190 , 1412 , 3 , 1
39 , 2 , 01010 , 19/08/2021,03/42/2 , 295 , 2000 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 195 , 195 , 195 , 1412 , 3 , 1
40 , 2 , 01010 , 19/08/2021,03/42/2 , 300 , 2050 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 200 , 200 , 200 , 1412 , 3 , 1
41 , 2 , 01010 , 19/08/2021,03/42/2 , 305 , 2100 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 205 , 205 , 205 , 1412 , 3 , 1
42 , 2 , 01010 , 19/08/2021,03/42/2 , 310 , 2150 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 210 , 210 , 210 , 1412 , 3 , 1
43 , 2 , 01010 , 19/08/2021,03/42/2 , 315 , 2200 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 215 , 215 , 215 , 1412 , 3 , 1
44 , 2 , 01010 , 19/08/2021,03/42/2 , 320 , 2250 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 220 , 220 , 220 , 1412 , 3 , 1
45 , 2 , 01010 , 19/08/2021,03/42/2 , 325 , 2300 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 225 , 225 , 225 , 1412 , 3 , 1
46 , 2 , 01010 , 19/08/2021,03/42/2 , 330 , 2350 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 230 , 230 , 230 , 1412 , 3 , 1
47 , 2 , 01010 , 19/08/2021,03/42/2 , 335 , 2400 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 235 , 235 , 235 , 1412 , 3 , 1
48 , 2 , 01010 , 19/08/2021,03/42/2 , 340 , 2450 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 240 , 240 , 240 , 1412 , 3 , 1
49 , 2 , 01010 , 19/08/2021,03/42/2 , 345 , 2500 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 245 , 245 , 245 , 1412 , 3 , 1
50 , 2 , 01010 , 19/08/2021,03/42/2 , 350 , 2550 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 250 , 250 , 250 , 1412 , 3 , 1
51 , 2 , 01010 , 19/08/2021,03/42/2 , 355 , 2600 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 255 , 255 , 255 , 1412 , 3 , 1
52 , 2 , 01010 , 19/08/2021,03/42/2 , 360 , 2650 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 260 , 260 , 260 , 1412 , 3 , 1
53 , 2 , 01010 , 19/08/2021,03/42/2 , 365 , 2700 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 265 , 265 , 265 , 1412 , 3 , 1
54 , 2 , 01010 , 19/08/2021,03/42/2 , 370 , 2750 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 270 , 270 , 270 , 1412 , 3 , 1
55 , 2 , 01010 , 19/08/2021,03/42/2 , 375 , 2800 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 275 , 275 , 275 , 1412 , 3 , 1
56 , 2 , 01010 , 19/08/2021,03/42/2 , 380 , 2850 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 280 , 280 , 280 , 1412 , 3 , 1
57 , 2 , 01010 , 19/08/2021,03/42/2 , 385 , 2900 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 285 , 285 , 285 , 1412 , 3 , 1
58 , 2 , 01010 , 19/08/2021,03/42/2 , 390 , 2950 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 290 , 290 , 290 , 1412 , 3 , 1
59 , 2 , 01010 , 19/08/2021,03/42/2 , 395 , 3000 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 295 , 295 , 295 , 1412 , 3 , 1
60 , 2 , 01010 , 19/08/2021,03/42/2 , 400 , 3050 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 300 , 300 , 300 , 1412 , 3 , 1
61 , 2 , 01010 , 19/08/2021,03/42/2 , 405 , 3100 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 305 , 305 , 305 , 1412 , 3 , 1
62 , 2 , 01010 , 19/08/2021,03/42/2 , 410 , 3150 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 310 , 310 , 310 , 1412 , 3 , 1
63 , 2 , 01010 , 19/08/2021,03/42/2 , 415 , 3200 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 315 , 315 , 315 , 1412 , 3 , 1
64 , 2 , 01010 , 19/08/2021,03/42/2 , 420 , 3250 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 320 , 320 , 320 , 1412 , 3 , 1
65 , 2 , 01010 , 19/08/2021,03/42/2 , 425 , 3300 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 325 , 325 , 325 , 1412 , 3 , 1
66 , 2 , 01010 , 19/08/2021,03/42/2 , 430 , 3350 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 330 , 330 , 330 , 1412 , 3 , 1
67 , 2 , 01010 , 19/08/2021,03/42/2 , 435 , 3400 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 335 , 335 , 335 , 1412 , 3 , 1
68 , 2 , 01010 , 19/08/2021,03/42/2 , 440 , 3450 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 340 , 340 , 340 , 1412 , 3 , 1
69 , 2 , 01010 , 19/08/2021,03/42/2 , 445 , 3500 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 345 , 345 , 345 , 1412 , 3 , 1
70 , 2 , 01010 , 19/08/2021,03/42/2 , 450 , 3550 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 350 , 350 , 350 , 1412 , 3 , 1
71 , 2 , 01010 , 19/08/2021,03/42/2 , 455 , 3600 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 355 , 355 , 355 , 1412 , 3 , 1
72 , 2 , 01010 , 19/08/2021,03/42/2 , 460 , 3650 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 360 , 360 , 360 , 1412 , 3 , 1
73 , 2 , 01010 , 19/08/2021,03/42/2 , 465 , 3700 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 365 , 365 , 365 , 1412 , 3 , 1
74 , 2 , 01010 , 19/08/2021,03/42/2 , 470 , 3750 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 370 , 370 , 370 , 1412 , 3 , 1
75 , 2 , 01010 , 19/08/2021,03/42/2 , 475 , 3800 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 375 , 375 , 375 , 1412 , 3 , 1
76 , 2 , 01010 , 19/08/2021,03/42/2 , 480 , 3850 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 380 , 380 , 380 , 1412 , 3 , 1
77 , 2 , 01010 , 19/08/2021,03/42/2 , 485 , 3900 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 385 , 385 , 385 , 1412 , 3 , 1
78 , 2 , 01010 , 19/08/2021,03/42/2 , 490 , 3950 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 390 , 390 , 390 , 1412 , 3 , 1
79 , 2 , 01010 , 19/08/2021,03/42/2 , 495 , 4000 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 395 , 395 , 395 , 1412 , 3 , 1
80 , 2 , 01010 , 19/08/2021,03/42/2 , 500 , 4050 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 400 , 400 , 400 , 1412 , 3 , 1
81 , 2 , 01010 , 19/08/2021,03/42/2 , 505 , 4100 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 405 , 405 , 405 , 1412 , 3 , 1
82 , 2 , 01010 , 19/08/2021,03/42/2 , 510 , 4150 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 410 , 410 , 410 , 1412 , 3 , 1
83 , 2 , 01010 , 19/08/2021,03/42/2 , 515 , 4200 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 415 , 415 , 415 , 1412 , 3 , 1
84 , 2 , 01010 , 19/08/2021,03/42/2 , 520 , 4250 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 420 , 420 , 420 , 1412 , 3 , 1
85 , 2 , 01010 , 19/08/2021,03/42/2 , 525 , 4300 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 425 , 425 , 425 , 1412 , 3 , 1
86 , 2 , 01010 , 19/08/2021,03/42/2 , 530 , 4350 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 430 , 430 , 430 , 1412 , 3 , 1
87 , 2 , 01010 , 19/08/2021,03/42/2 , 535 , 4400 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 435 , 435 , 435 , 1412 , 3 , 1
88 , 2 , 01010 , 19/08/2021,03/42/2 , 540 , 4450 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 440 , 440 , 440 , 1412 , 3 , 1
89 , 2 , 01010 , 19/08/2021,03/42/2 , 545 , 4500 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 445 , 445 , 445 , 1412 , 3 , 1
90 , 2 , 01010 , 19/08/2021,03/42/2 , 550 , 4550 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 450 , 450 , 450 , 1412 , 3 , 1
91 , 2 , 01010 , 19/08/2021,03/42/2 , 555 , 4600 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 455 , 455 , 455 , 1412 , 3 , 1
92 , 2 , 01010 , 19/08/2021,03/42/2 , 560 , 4650 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 460 , 460 , 460 , 1412 , 3 , 1
93 , 2 , 01010 , 19/08/2021,03/42/2 , 565 , 4700 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 465 , 465 , 465 , 1412 , 3 , 1
